no	control_no	license_date	license_cancellation_date	business_status_cd	business_status_nm	detailed_business_status_cd	detailed_business_status_cd	closing_date	closing_start_date	closing_end_date	reopening_date	telephone	zip_code	address	street_address	street_zip_code	business_nm	x_coord	y_coord	area
1	PHMD119733020033084000002	19730503		1	영업/정상	18	사용중							서울특별시 용산구 한남1동 263-15			김상돈약국			33.75
2	PHMD119873620020084000002	19870530		1	영업/정상	13	영업중					062-264-5679		광주광역시북구두암2동 850-8	광주광역시 북구 군왕로 127-1 (두암동)	61197	란약국	193786.8302	185954.5194	21.51
3	PHMD119873620020084000003	19870629		1	영업/정상	13	영업중					062-263-9970	500761	광주광역시 북구 두암동 968번지 1호	광주광역시 북구 삼정로 7, 110호 (두암동, 주공2단지상가)	61161	메디팜건강약국	194075.2441	184984.4186	21.19
4	PHMD120033620020084000001	20030317		1	영업/정상	13	영업중					062-261-7533	500848	광주광역시 북구 우산동 207번지 3호 1층	광주광역시 북구 동문대로 121, 1층 (우산동)	61192	좋은약국	193146.4005	186088.1065	0
5	PHMD120033620020084000002	20030325		1	영업/정상	13	영업중					062-262-7735	500814	광주광역시 북구 두암동 969번지 5호 모아미래도아파트상가 103호	광주광역시 북구 삼정로 20, 103호 (두암동, 모아미래도아파트상가)	61159	라포약국	194270.1072	184985.2783	0
6	PHMD120033620020084000005	20030611		1	영업/정상	13	영업중					062-267-5755	500839	광주광역시 북구 오치2동 862번지 22호 (1층)	광주광역시 북구 서하로 187 (오치동)	61055	뷰티온누리약국	190911.6877	187580.1799	0
7	PHMD120033620020084000009	20031112		1	영업/정상	13	영업중					062-512-9600	500881	광주광역시 북구 풍향동 602번지 1호	광주광역시 북구 동문대로 20 (풍향동)	61206	새명문약국	192627.9983	185270.9905	0
8	PHMD120033620020084000011	20031217		1	영업/정상	13	영업중					062-574-5570	500816	광주광역시 북구 매곡동 468번지 2호 1층	광주광역시 북구 설죽로 319 (매곡동)	61062	오치우리약국	190687.3016	187673.5482	0
9	PHMD120033620020084000012	20031229		1	영업/정상	13	영업중					062-511-3888	500872	광주광역시 북구 중흥2동 361번지 1호 (1층)	광주광역시 북구 우치로 68 (중흥동)	61207	태평양약국	191984.2647	186016.5979	66.6
10	PHMD120023620020084000003	20020731		1	영업/정상	13	영업중					062-266-6544			광주광역시 북구 동문대로 111, 1층 (우산동)	61192	태양약국	193106.1242	186025.0618	59.4
11	PHMD120023620020084000004	20020824		1	영업/정상	13	영업중					062-262-6107	500823	광주광역시 북구 문흥동 1002번지 4호 1층	광주광역시 북구 서하로 378, 1층 (문흥동)	61133	서울약국	192757.4217	187364.5645	0
12	PHMD120023620020084000007	20021202		1	영업/정상	13	영업중					062-264-9669	500848	광주광역시 북구 우산동 206번지 19호 1층	광주광역시 북구 동문대로 129, 1층 (우산동)	61192	말바우약국	193193.5554	186165.4307	0
13	PHMD120143620020084000011	20140324		1	영업/정상	13	영업중					062-574-8577	500150	광주광역시 북구 매곡동 468번지 4호	광주광역시 북구 설죽로315번길 1 (매곡동)	61062	메디치약국	190648.3013	187608.6045	66
14	PHMD120143620020084000018	20141114		1	영업/정상	13	영업중					953-0035	500171	광주광역시 북구 운암동 434번지 83호	광주광역시 북구 북문대로 50 (운암동)	61116	그린 한약국	189054.3464	186318.9631	73.78
15	PHMD119973620020084000003	19970508		1	영업/정상	13	영업중					062-269-8575	500809	광주광역시 북구 두암동 881번지 1호 1층	광주광역시 북구 동문대로 110, 1층 (두암동)	61199	두암종로약국	193131.3418	185968.4786	0
16	PHMD119973620020084000004	19970508		1	영업/정상	13	영업중					062-267-0089		광주광역시북구문흥2동 1000-4(1층)	광주광역시 북구 서하로 386, 1층 (문흥동)	61133	하나로문흥약국	192830.2299	187318.7933	25
17	PHMD120123620020084000015	20120831		1	영업/정상	13	영업중					432-1569	500850	광주광역시 북구 우산동 232번지 8호	광주광역시 북구 동문대로 79-1, 1층 (우산동)	61194	다사랑약국	192882.7041	185802.8122	20
18	PHMD120123620020084000016	20120901		1	영업/정상	13	영업중					527-9470	500860	광주광역시 북구 운암동 1078번지 18호	광주광역시 북구 북문대로187번길 10 (운암동)	61266	우리운암약국	188056.0075	187270.4401	71.5
